Evimden,Ev,From my house,Ev-(i)m-den,
Göz,Göz,Eye,--,
Gözlem,Göz,Observation,Göz-lem,
Gözlemci,Göz,Observer,Göz-lem-ci,
Gözlemcilik,Göz,The job of the observer,Göz-lem-ci-lik,
Gözlemlediklerim,Göz,The ones that I observe,Göz-lem-le-dik-ler-(i)m,
Güzelmişsin,Güzel,You were beautiful,Güzel-miş-sin,Rumor
Etkilerden,Etki,From the effects,Etki-ler-den,
Çocukmuş,Çocuk,It was child,Çocuk-miş,Rumor
Kediymiş,Kedi,It was cat,Kedi-(y)miş,Rumor
Balığım,Balık,My fish,Balık-(i)m,
Soyadım,Soyad,My surname,Soyad-(i)m,Soy+ad = Lineage+name
Kedim,Kedi,My cat,Kedi-m,
Kalem,Kale,My castle,Kale-m,Kalem also means pencil by itself
Doktoruymuşsunuz,Doktor,You were his/her/its doctor,Doktor-i-(y)miş-siniz,Rumor
Kalelerimizdekilerden,Kale,The ones that are from our castle,Kale-ler-(i)miz-de-ki-ler-den,
Çocuğuymuşumçasına,Çocuk,As if I was his/her child ,Çocuk-i-(y)miş-im-cesine,
Kedileriyle,Kedi,With his/her/its cats,Kedi-ler-i-(y)le,Kedileri+ile
Çocuklarımmış,Çocuk,They were my children,Çocuk-ler-(i)m-miş,Rumor
Kitabımızdı,Kitap,It was our book,Kitap-(i)miz-di,
Kelimelerin,Kelime,"""Your"" -OR- ""of"" words",Kelime-ler-(i)n -OR- Kelime-ler-in,Both ways
Kayısısı,Kayısı,His/her/its apricot,Kayısı-(s)ı,
Eriğinin,Erik,"Of ""your"" -OR- ""his/her/its"" plum",Erik-(i)n-in -OR- erik-i-(n)in,Both ways
Eriğindeki,Erik,"The one that is at ""your"" -OR- ""his/her/its"" plum ",Erik-(i)n-de-ki - OR- erik-i-(n)de-ki,Both ways
Gülsüm,Gül,--,Gül-süm,This is a woman name
Suyunun,Su,"Of ""your"" -OR- ""his/her/its"" water",Su-(y)(i)n-in -OR- Su-(y)i-(n)in,Both ways
Yargımız,Yargı,Our jurisdiction,Yargı-miz,
Eriğinden,Erik,"From ""your"" -OR- ""his/her/its"" plum",Erik-(i)n-den -OR- erik-i-(n)den,Both ways
Eriğine,Erik,"To ""your"" -OR- ""his/her/its"" plum",Erik-(i)n-e -OR- erik-i-(n)e,Both ways
Eriğinde,Erik,"At ""your"" -OR- ""his/her/its"" plum",Erik-(i)n-de -OR- erik-i-(n)de,Both ways
Kayısısına,Kayısı,His/her/its apricot,Kayısı-(s)ı-(n)a,
Kayısısında,Kayısı,At his/her/its apricot,Kayısı-(s)ı-(n)da,
Yargının,Yargı,Of (the) jurisdiction,Yargi-(n)in,
Saatlerimiz,Saat,Our watches/hours,Saat-ler-(i)miz,
Kalemimin,Kalem,Of my pencil,Kalem-(i)m-in,
Ucu,Uç,Nib of...,Uç-i,
Kalelerdekilerden,Kale,From the ones that are at (the) castle,Kale-ler-de-ki-ler-den,
Kalelerdekilerin,Kale,Of the ones that are at (the) castle,Kale-ler-de-ki-ler-in,
Kalelerimizdekilerde,Kale,At the ones that are at (the) castle,Kale-ler-(i)miz-de-ki-ler-de,
Kaleninkinin,Kale,Of the one that belongs to (the) castle,Kale-(n)in-ki-nin,
Kalemizinkinin,Kale,Of the one that belongs to our castle,Kale-miz-(i)n-ki-(n)in,
Kalelerindeki,Kale,"The one that is at ""their castle"" -OR- ""his/her/its castles""",Kale-leri-(n)de-ki -OR- kale-ler-i-(n)de-ki,Both ways
Erikleri,Erik,"""Their plum"" -OR- ""his/her/its plums""",Erik-leri -OR- Erik-ler-i,Both ways
Erikler,Erik,(The) plums,Erik-ler,
Eriğim,Erik,My plum,Erik-(i)m,
Eriğimiz,Erik,Our plum,Erik-(i)miz,
Eriğin,Erik,Your plum,Erik-(i)n,
Eriğiniz,Erik,Your plum,Erik-(i)niz,2nd person in plural
Eriği,Erik,His/her/its plum,Erik-i,
